Province_State,Country_Region,Last_Update,Lat,Long,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,region
California,US,4/12/2020,36.1162,-119.6816,22201,631,,,6,56.13959002,190328,5234,2.844648814,84000006,USA,485.4238685,22.9611757,C
Oregon,US,4/12/2020,44.572,-122.0709,1527,52,,,41,36.20424887,29758,359,3.405370007,84000041,USA,742.6366471,23.51015062,O
California,US,4/13/2020,36.1162,-119.6816,23403,693,,,6,59.17915578,190882,3015,2.963691571,84000006,USA,486.8368231,12.59872132,C
Oregon,US,4/13/2020,44.572,-122.0709,1584,53,,,41,37.55568448,31121,369,3.345959596,84000041,USA,776.6514918,23.29545455,O
California,US,4/14/2020,36.1162,-119.6816,24541,780,,,6,62.05674634,202208,5163,3.181076672,84000006,USA,515.7233282,20.36204449,C
Oregon,US,4/14/2020,44.572,-122.0709,1633,55,,,41,38.71744492,32363,381,3.368034293,84000041,USA,807.6466769,23.3312921,O
California,US,4/15/2020,36.1162,-119.6816,26353,872,,,6,66.64266903,216486,5163,3.311560079,84000006,USA,552.1387899,19.34722326,C
Oregon,US,4/15/2020,44.572,-122.0709,1663,58,,,41,39.42872683,33351,401,3.48767288,84000041,USA,832.303072,24.11304871,O
California,US,4/16/2020,36.1162,-119.6816,27575,954,,,6,69.7353829,246400,5031,3.462292226,84000006,USA,628.4332374,18.17754814,C
Oregon,US,4/16/2020,44.572,-122.0709,1736,64,,,41,41.15951279,34938,414,3.686635945,84000041,USA,871.9080306,23.84792627,O
California,US,4/17/2020,36.1162,-119.6816,29293,1022,,,6,74.08340452,258800,4892,3.49139109,84000006,USA,660.058936,16.77813218,C
Oregon,US,4/17/2020,44.572,-122.0709,1785,70,,,41,42.32127323,36321,427,3.921568627,84000041,USA,906.4219927,23.92156863,O
California,US,4/18/2020,36.1162,-119.6816,30639,1126,,,6,77.48741446,251614,4892,3.677695398,84000006,USA,641.7313336,16.04407858,C
Oregon,US,4/18/2020,44.572,-122.0709,1844,72,,,41,43.72012764,37583,449,3.904555315,84000041,USA,937.916295,24.34924078,O
California,US,4/19/2020,36.1162,-119.6816,31304,1160,,,6,79.17043797,280900,4731,3.7082028,84000006,USA,716.4240925,15.05201871,C
Oregon,US,4/19/2020,44.572,-122.0709,1910,74,,,41,45.28494783,39038,456,3.87434555,84000041,USA,974.2270794,23.87434555,O
California,US,4/20/2020,36.1162,-119.6816,33559,1200,,,6,84.87753271,290500,4674,3.578137579,84000006,USA,740.9085043,13.87520038,C
Oregon,US,4/20/2020,44.572,-122.0709,1957,75,,,41,46.39928948,40045,465,3.832396525,84000041,USA,999.357636,23.76085846,O
California,US,4/21/2020,36.1162,-119.6816,35750,1289,,,6,90.42265225,300100,4886,3.607814599,84000006,USA,765.3929161,13.7769632,C
Oregon,US,4/21/2020,44.572,-122.0709,2004,78,,,41,47.51363112,41128,471,3.892215569,84000041,USA,1026.384838,23.50299401,O
California,US,4/22/2020,36.1162,-119.6816,37745,1413,,,6,95.47425363,465327,4984,3.745626127,84000006,USA,1186.797699,13.3461868,C
Oregon,US,4/22/2020,44.572,-122.0709,2059,78,,,41,48.81764795,41185,488,3.788246722,84000041,USA,1027.807323,23.70082564,O
California,US,4/24/2020,36.1162,-119.6816,39593,1503,,,6,100.1512874,482097,4929,3.798140099,84000006,USA,1229.568906,12.45924016,C
Oregon,US,4/24/2020,44.572,-122.0709,2127,83,,,41,50.42988693,43976,512,3.902209685,84000041,USA,1097.459144,24.07146215,O
California,US,4/25/2020,36.1162,-119.6816,41463,1586,,,6,104.8840001,494173,4880,3.827035375,84000006,USA,1260.368256,11.80026599,C
Oregon,US,4/25/2020,44.572,-122.0709,2177,86,,,41,51.61535677,45492,520,3.950390446,84000041,USA,1135.292236,23.88608176,O
