Province_State,Country_Region,Last_Update,Lat,Long,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Oregon,US,4/12/2020,44.572,-122.0709,1527,52,,,41,36.20424887,29758,359,3.405370007,84000041,USA,742.6366471,23.51015062
Oregon,US,4/13/2020,44.572,-122.0709,1584,53,,,41,37.55568448,31121,369,3.345959596,84000041,USA,776.6514918,23.29545455
Oregon,US,4/14/2020,44.572,-122.0709,1633,55,,,41,38.71744492,32363,381,3.368034293,84000041,USA,807.6466769,23.3312921
Oregon,US,4/15/2020,44.572,-122.0709,1663,58,,,41,39.42872683,33351,401,3.48767288,84000041,USA,832.303072,24.11304871
Oregon,US,4/16/2020,44.572,-122.0709,1736,64,,,41,41.15951279,34938,414,3.686635945,84000041,USA,871.9080306,23.84792627
Oregon,US,4/17/2020,44.572,-122.0709,1785,70,,,41,42.32127323,36321,427,3.921568627,84000041,USA,906.4219927,23.92156863
Oregon,US,4/18/2020,44.572,-122.0709,1844,72,,,41,43.72012764,37583,449,3.904555315,84000041,USA,937.916295,24.34924078
Oregon,US,4/19/2020,44.572,-122.0709,1910,74,,,41,45.28494783,39038,456,3.87434555,84000041,USA,974.2270794,23.87434555
Oregon,US,4/20/2020,44.572,-122.0709,1957,75,,,41,46.39928948,40045,465,3.832396525,84000041,USA,999.357636,23.76085846
Oregon,US,4/21/2020,44.572,-122.0709,2004,78,,,41,47.51363112,41128,471,3.892215569,84000041,USA,1026.384838,23.50299401
Oregon,US,4/22/2020,44.572,-122.0709,2059,78,,,41,48.81764795,41185,488,3.788246722,84000041,USA,1027.807323,23.70082564
Oregon,US,4/24/2020,44.572,-122.0709,2127,83,,,41,50.42988693,43976,512,3.902209685,84000041,USA,1097.459144,24.07146215
Oregon,US,4/25/2020,44.572,-122.0709,2177,86,,,41,51.61535677,45492,520,3.950390446,84000041,USA,1135.292236,23.88608176
Oregon,US,4/26/2020,44.572,-122.0709,2253,87,,,41,53.41727092,47377,536,3.861517976,84000041,USA,1182.334042,23.79050155
Oregon,US,4/27/2020,44.572,-122.0709,2311,92,,,41,54.79241593,48964,546,3.980960623,84000041,USA,1221.939001,23.62613587
Oregon,US,4/28/2020,44.572,-122.0709,2354,92,,,41,55.81191999,51198,554,3.908241291,84000041,USA,1277.690405,23.53440952
Oregon,US,4/29/2020,44.572,-122.0709,2385,99,,,41,56.54691129,51198,554,4.150943396,84000041,USA,1277.690405,23.22851153
Oregon,US,4/30/2020,44.572,-122.0709,2446,101,,,41,57.9931845,54472,569,4.129190515,84000041,USA,1359.395908,23.26246934
Oregon,US,5/1/2020,44.572,-122.0709,2510,103,0,2407,41,59.51058589,56032,578,4.103585657,84000041,USA,1398.327059,23.02788845
Oregon,US,5/2/2020,44.572,-122.0709,2579,104,0,2475,41,61.14653427,58176,591,4.032570764,84000041,USA,1451.832434,22.91585886
Oregon,US,5/3/2020,44.572,-122.0709,2635,109,0,2526,41,62.47426049,60136,595,4.136622391,84000041,USA,1500.745931,22.58064516
Oregon,US,5/4/2020,44.572,-122.0709,2680,109,860,1711,41,63.54118334,62054,598,4.067164179,84000041,USA,1548.611281,22.31343284
Oregon,US,5/5/2020,44.572,-122.0709,2759,109,860,1790,41,65.41422569,63457,608,3.950706778,84000041,USA,1583.62436,22.03696992
Oregon,US,5/6/2020,44.572,-122.0709,2839,113,860,1866,41,67.31097743,65424,622,3.980274745,84000041,USA,1632.712548,21.90912293
Oregon,US,5/7/2020,44.572,-122.0709,2916,115,1125,1676,41,69.13660098,67976,641,3.943758573,84000041,USA,1696.399917,21.98216735
Oregon,US,5/8/2020,44.572,-122.0709,2989,121,1125,1743,41,70.86738694,70458,645,4.048176648,84000041,USA,1758.340375,21.57912345
Oregon,US,5/9/2020,44.572,-122.0709,3068,124,1125,1819,41,72.74042929,72693,659,4.041720991,84000041,USA,1814.116735,21.4797914
Oregon,US,5/10/2020,44.572,-122.0709,3160,127,1125,1908,41,74.92169379,74620,662,4.018987342,84000041,USA,1862.206687,20.94936709
Oregon,US,5/11/2020,44.572,-122.0709,3228,127,1125,1976,41,76.53393277,75507,670,3.934324659,84000041,USA,1884.34254,20.755886
Oregon,US,5/12/2020,44.572,-122.0709,3286,130,1125,2031,41,77.90907778,77606,673,3.956177724,84000041,USA,1936.724902,20.48082775
Oregon,US,5/13/2020,44.572,-122.0709,3358,130,1125,2103,41,79.61615435,77606,673,3.871351995,84000041,USA,1936.724902,20.04169148
Oregon,US,5/14/2020,44.572,-122.0709,3416,134,1406,1876,41,80.99129936,83987,678,3.922716628,84000041,USA,2095.96828,19.84777518
Oregon,US,5/15/2020,44.572,-122.0709,3479,137,1406,1936,41,82.48499136,84050,685,3.937913193,84000041,USA,1992.774798,19.68956597
Oregon,US,5/16/2020,44.572,-122.0709,3541,137,1406,1998,41,83.95497396,89506,691,3.86896357,84000041,USA,2122.133267,19.51426151
Oregon,US,5/17/2020,44.572,-122.0709,3612,137,1406,2069,41,85.63834113,92199,699,3.792912514,84000041,USA,2185.982673,19.35215947
Oregon,US,5/18/2020,44.572,-122.0709,3623,137,1406,2080,41,85.89914449,94356,703,3.781396633,84000041,USA,2237.123842,19.403809
Oregon,US,5/19/2020,44.572,-122.0709,3687,138,1406,2143,41,87.41654589,97315,708,3.742880391,84000041,USA,2307.279947,19.20260374
Oregon,US,5/20/2020,44.572,-122.0709,3726,140,1406,2180,41,88.34121236,99720,714,3.757380569,84000041,USA,2364.301046,19.1626409
Oregon,US,5/21/2020,44.572,-122.0709,3801,144,1406,2251,41,90.11941712,102149,723,3.788476717,84000041,USA,2421.891171,19.02131018
Oregon,US,5/22/2020,44.572,-122.0709,3817,145,1406,2266,41,90.49876747,105224,732,3.798794865,84000041,USA,2494.797566,19.17736442
Oregon,US,5/23/2020,44.572,-122.0709,3864,147,1376,2341,41,91.61310912,107839,737,3.804347826,84000041,USA,2556.797638,19.07349896
Oregon,US,5/24/2020,44.572,-122.0709,3888,147,1376,2365,41,92.18213464,110207,740,3.780864198,84000041,USA,2612.94149,19.03292181
Oregon,US,5/25/2020,44.572,-122.0709,3927,148,1376,2403,41,93.10680111,112195,742,3.768780239,84000041,USA,2660.07577,18.89483066
Oregon,US,5/26/2020,44.572,-122.0709,3949,148,1376,2425,41,93.62840784,113858,747,3.747784249,84000041,USA,2699.504497,18.91618131
Oregon,US,5/27/2020,44.572,-122.0709,3967,148,1795,2024,41,94.05517698,115538,752,3.730778926,84000041,USA,2739.336284,18.95639022
Oregon,US,5/28/2020,44.572,-122.0709,4038,148,1795,2095,41,95.73854415,116992,759,3.665180783,84000041,USA,2773.809747,18.79643388
Oregon,US,5/29/2020,44.572,-122.0709,4086,151,1981,1954,41,96.8765952,119647,768,3.695545766,84000041,USA,2836.758195,18.7958884
Oregon,US,5/30/2020,44.572,-122.0709,4131,151,1981,1999,41,97.94351805,122681,771,3.655289276,84000041,USA,2908.692505,18.6637618
Oregon,US,5/31/2020,44.572,-122.0709,4185,153,2137,1895,41,99.22382548,126795,778,3.655913978,84000041,USA,3006.232963,18.59020311
Oregon,US,6/1/2020,44.572,-122.0709,4243,153,2152,1938,41,100.5989705,129201,786,3.605939194,84000041,USA,3063.277772,18.5246288
Oregon,US,6/2/2020,44.572,-122.0709,4302,154,2164,1984,41,101.9978249,131618,790,3.579730358,84000041,USA,3120.583384,18.36355184
Oregon,US,6/3/2020,44.572,-122.0709,4335,157,2164,2014,41,102.780235,134209,795,3.621683968,84000041,USA,3182.014431,18.33910035
Oregon,US,6/4/2020,44.572,-122.0709,4399,159,2199,2041,41,104.2976364,136668,800,3.614457831,84000041,USA,3240.315838,18.18595135
Oregon,US,6/5/2020,44.572,-122.0709,4474,159,2199,2116,41,106.0758411,139312,812,3.553866786,84000041,USA,3303.003483,18.14930711
Oregon,US,6/6/2020,44.572,-122.0709,4570,161,2214,2195,41,108.3519432,143246,819,3.52297593,84000041,USA,3396.27625,17.92122538
Oregon,US,6/7/2020,44.572,-122.0709,4570,161,2237,2172,41,108.3519432,146159,819,3.52297593,84000041,USA,3465.341722,17.92122538
Oregon,US,6/8/2020,44.572,-122.0709,4662,163,2237,2262,41,110.5332077,148400,819,3.496353496,84000041,USA,3518.474481,17.56756757
Oregon,US,6/9/2020,44.572,-122.0709,4922,164,2237,2521,41,116.6976509,149879,843,3.33197887,84000041,USA,3553.540678,17.12718407
Oregon,US,6/10/2020,44.572,-122.0709,4988,169,2313,2506,41,118.2624711,153617,851,3.388131516,84000041,USA,3642.166403,17.06094627
Oregon,US,6/11/2020,44.572,-122.0709,5060,169,2332,2559,41,119.9695477,156758,857,3.339920949,84000041,USA,3716.637619,16.93675889
Oregon,US,6/12/2020,44.572,-122.0709,5237,171,2350,2716,41,124.1661109,161804,864,3.265228184,84000041,USA,3836.275235,16.49799504
Oregon,US,6/13/2020,44.572,-122.0709,5377,173,2370,2834,41,127.4854264,166189,875,3.217407476,84000041,USA,3940.24094,16.27301469
Oregon,US,6/14/2020,44.572,-122.0709,5377,173,2396,2808,41,127.4854264,166189,875,3.217407476,84000041,USA,3940.24094,16.27301469
Oregon,US,6/15/2020,44.572,-122.0709,5377,173,2396,2808,41,127.4854264,166189,875,3.217407476,84000041,USA,3940.24094,16.27301469
Oregon,US,6/16/2020,44.572,-122.0709,5820,180,2396,3244,41,137.9886892,173882,875,3.092783505,84000041,USA,4122.637329,15.03436426
Oregon,US,6/17/2020,44.572,-122.0709,6098,182,2431,3485,41,144.5799015,179538,912,2.98458511,84000041,USA,4256.737677,14.95572319
